=== НЕПРЕРЫВНОЕ ПОТОКОВОЕ ОБУЧЕНИЕ ИЗ ИНТЕРНЕТА (20 МИНУТ) ===

[00:50:17 | Chunk #71    | Streamed: 70.5 KB | loss      : 0.071915 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0008  observed 0.0008  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #72    | Streamed: 71.5 KB | loss      : 0.081620 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0014  observed 0.0014  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #73    | Streamed: 72.5 KB | loss      : 0.097915 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0010  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #74    | Streamed: 73.5 KB | loss      : 0.082850 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0012  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #75    | Streamed: 74.5 KB | loss      : 0.109194 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0012  observed 0.0011  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #76    | Streamed: 75.5 KB | loss      : 0.035079 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0004  observed 0.0004  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #77    | Streamed: 76.5 KB | loss      : 0.124772 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0015  observed 0.0015  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #78    | Streamed: 77.5 KB | loss      : 0.000022 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0002  observed 0.0002  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #79    | Streamed: 78.5 KB | loss      : 0.100224 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0014  observed 0.0014  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #80    | Streamed: 79.5 KB | loss      : 0.037785 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0006  observed 0.0006  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #81    | Streamed: 80.5 KB | loss      : 0.072248 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0011  observed 0.0011  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #82    | Streamed: 81.5 KB | loss      : 0.142532 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0022  observed 0.0022  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #83    | Streamed: 82.5 KB | loss      : 0.233099 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0020  observed 0.0021  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
[00:50:18 | Chunk #84    | Streamed: 83.5 KB | loss      : 0.052306 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0006  observed 0.0006  gap 0.0000  (256 выстрелов) | Осталось: 19.9 мин
